,count
wax,2
installs,2
camp,2
"""driver",2
kindly,2
230i,2
efficiency.,2
gunning,2
stress,2
audi/volkswagen,2
v6:,2
jim,2
projected,2
mall,2
"willows,",2
"thunderhill""",2
amend,2
"""25",2
93.,2
"""people""",2
brightness,2
strikes,2
c320's,2
.10,2
vr6,2
requiring,2
"pleasent,",2
unassuming,2
"""supercar.""",2
"originality,",2
"""safe"",",2
reactions.,2
"wheels.""",2
sported,2
uncommonly,2
aztek..but,2
appreciates,2
"something,",2
board).,2
audience,2
15.0,2
locked,2
outshine,2
rant,2
scott,2
200hp.,2
hockey!,2
3-pedal,2
measly,2
v6s.,2
risks,2
anyway),2
"sec.,",2
recommendations.,2
"""used""",2
accomplishment,2
8000,2
pathfinder.,2
infinti,2
liken,2
confidence-inspiring,2
unstable,2
think...,2
nonetheless,2
abused,2
3.0-liter,2
02-04,2
doubled,2
"roominess,",2
(between,2
330).,2
updates,2
exchange,2
"difference""",2
"detail,",2
9-3-,2
g35-,2
unseat,2
intriguing,2
troubles,2
vwoa,2
"""super""",2
-audi,2
roi,2
programs,2
"""whether",2
dethrone,2
curving,2
"""deviod",2
redolent,2
babying,2
exotic.,2
day?,2
gettting,2
15-16,2
(g35/tl/cts/ls/9-3),2
enjoy.,2
statue.,2
aside...,2
eluded,2
well-balanced,2
alluminum,2
"7.1,",2
bumpers.,2
(excuse,2
correlation,2
back?,2
mod.,2
noticeably,2
"270-hp,",2
52.5-mph.,2
"maneuver,",2
headlines,2
emergency-handling,2
lean.,2
well-contained,2
"""torque",2
programming,2
"speeds.""",2
(btw:,2
"patterns/materials,",2
sidewalls,2
are;,2
corners).,2
(225/45's,2
non-staggered,2
tramlines,2
225/45f),2
(245/40r,2
8-month,2
setup?,2
"smunch,",2
we&#146;ll,2
yeah.,2
raising,2
"nature,",2
"""then",2
amelieorate,2
repealed.,2
"rubber,",2
"regular,",2
cheers,2
reduced.,2
notorious,2
"applied,",2
parallel,2
favorite/hated,2
share?,2
economy?,2
intermittent,2
seats...,2
"pain,",2
"rx-8,",2
endangering,2
unexpected?,2
"dangerous,",2
90.,2
huge.,2
youself...this,2
"oil""",2
somehow?,2
(turbo),2
reproach.,2
26k.,2
7:00,2
eastern,2
message:,2
thrills,2
display),2
maneuvering,2
"porsche's,",2
"straight,",2
she'll,2
better/more,2
scary.,2
wrt,2
an:,2
rx8.,2
mildly,2
ranges,2
townhall,2
nervous,2
astray,2
2k.,2
wander,2
falsities,2
misinformation.,2
asphalt,2
"gets,",2
"grade,",2
expereince,2
topic?,2
accompanied,2
a3s,2
if's,2
asia-only,2
undercutting,2
fly!,2
want...,2
"130i,",2
"smoothness,",2
adjusting,2
specifications.,2
departure,2
endurance,2
groove,2
tramline,2
25-hour,2
flow.,2
often?),2
quattro.,2
handling(tossing,2
daily?),2
joints,2
155mph,2
few):,2
life's,2
off...and?,2
.89,2
vette/viper/or,2
measurement,2
70k.,2
shrug...,2
be?,2
"pictures,",2
scoobies.,2
correlated,2
levels.,2
diameter,2
pig.,2
champ.,2
.90,2
"happiness,",2
byron!,2
('04,2
speed-sensitive,2
drawer,2
alloys.,2
flimsy,2
"$34,000",2
damping,2
riders,2
"la,",2
communication,2
knob,2
acrost,2
noice,2
suggestions,2
comparo:,2
"atlanta,",2
merge,2
horrific,2
traffic..love,2
train!,2
visor,2
stole,2
enticing,2
k&n,2
due.,2
researched,2
select.,2
chips,2
torque?,2
wondering.,2
(2.5),2
36k.,2
e-shift,2
outselling,2
ii,2
gunmetal,2
"peppy,",2
ears,2
sure),2
oversized,2
b-b,2
interval,2
so),2
passion.,2
us?...i,2
schizo,2
stormer.,2
notions,2
stocker,2
(next,2
al:,2
zf,2
vt,2
all-season.,2
danny's,2
upright,2
great!,2
targeted,2
gore,2
governer,2
garmin,2
slip.,2
arnold.,2
vsc,2
"(30,000)",2
about:,2
175lb.,2
75-80,2
"""other",2
charges,2
divides,2
nbrs,2
descent,2
(300hp,2
255hp).,2
"overhyped,",2
peform/feel,2
nj),2
200hp),2
200hp...??,2
255hp.,2
181,2
206,2
(3.2),2
(3.6),2
"(32,440)",2
cheapo,2
snagged,2
;,2
periodically,2
wretched,2
aux,2
sterio,2
8),2
hater,2
regards.,2
values.,2
aaa,2
"shrug,",2
"bored,",2
stretched,2
area).,2
(2005,2
"weak,",2
composure,2
"""steering",2
remember.,2
06?,2
hallmark,2
drive/feel,2
33.4,2
nanny,2
squeal.,2
boy.,2
$5-$10k,2
"3.3,",2
"""enthusiast",2
"lux,",2
$5-$7k,2
hip,2
retired,2
was),2
resisted,2
boast,2
"$42,000",2
sleek.,2
mix?,2
zip,2
raving,2
07,2
"dark,",2
drooling,2
leaned,2
"worthy,",2
northeast.,2
540ia,2
10/10ths,2
roadway,2
scene,2
expires,2
nice-,2
touched.,2
9k,2
"$17,000",2
to....very,2
wrap,2
redefining,2
"handling.""",2
vinyl.,2
pair,2
am),2
restricted,2
indicating,2
austria,2
"sedan,""",2
cloth,2
"""list""",2
best?,2
prohibited,2
"little,",2
egoryid=10,2
"exist,",2
impressions:,2
telephone,2
typo.,2
supplied,2
4-cam,2
foray,2
digit,2
m2,2
"boy,",2
(there's,2
riez!,2
exchanged,2
package).,2
creeping,2
"quote,",2
duratec,2
well),2
"""lots",2
$'s,2
"years.""",2
231,2
til,2
supplier,2
sunglass,2
"bhp,",2
redundant,2
remembering,2
"comfy,",2
"out),",2
people!,2
325xit,2
comming,2
speaking.,2
mbarto...,2
hm.,2
performance-oriented,2
"discount,",2
"son,",2
superiority.,2
"daughter,",2
"present,",2
camel,2
49,2
gts,2
galant,2
admitt.,2
sector.,2
ah...,2
make...,2
"""love",2
"535,",2
smidge,2
"cylinders,",2
torqueing,2
horsepowering/out,2
looker.,2
horsies.,2
6:34pm,2
"(hey,",2
handling's,2
sludge,2
noted.,2
internals.,2
accounted,2
bucks.,2
$2075,2
horses?,2
romps,2
"flows,",2
economically,2
"outside,",2
"profit,",2
3.0l.,2
2.8l,2
roundly,2
engineering?,2
challenger.,2
sup,2
voted,2
lewis,2
lennox,2
ilk,2
"""...to",2
impressive...,2
5.6.,2
@6%:,2
interest-4yr,2
delightful,2
secs),2
@5%:,2
maintenance:,2
"get,",2
sprint,2
4yr,2
share.,2
xyz,2
$1200,2
fairhaven.,2
(sometimes,2
sane,2
reduction,2
sylvia.,2
nonetheless.,2
success!,2
"dude,",2
soft-touch,2
23k,2
finger,2
upstate,2
"lazy,",2
"(volvo,",2
"(imo,",2
findings,2
dave.,2
"porky,",2
whistle,2
strong.,2
"allright,",2
told.,2
9-2.,2
boss,2
discern,2
money!,2
spyder.,2
70's....,2
resonator.,2
"muffler,",2
"destination,",2
livened,2
insisting,2
comfortably,2
6th.,2
sport-tuned,2
yup.,2
"sex,",2
buyers:,2
typing.,2
light?,2
is/was,2
es300's,2
unsure,2
tolerance,2
nitpick,2
owned],2
delusional.,2
gs430.,2
hosts,2
4.6,2
diamond,2
$192k,2
"""super",2
"november,",2
2367,2
2532,2
1423,2
3960,2
crucified,2
6460,2
6711,2
extends,2
court,2
glove.,2
quick--a,2
exclusion,2
"emissions,",2
"""smg""",2
"""manual""",2
to--fathering.,2
habit,2
(pat,2
mid-life,2
territory,2
crisis.,2
"""mr.",2
lexus/bmw/mb,2
(narrowed,2
addiction,2
elect,2
mind),2
gang,2
persuade,2
fascia,2
inserts,2
shipo!!!,2
impractical,2
swiss,2
france,2
"pedals,",2
spoiler.,2
trunk-mounted,2
"bridge,",2
coupes.,2
contoured,2
jag.,2
minute.....,2
overweight,2
responsibility,2
that),2
understanding.,2
"""hi",2
electronically,2
engages,2
indistinguishable,2
"gordon,",2
scenario,2
handling?,2
closely.,2
power:,2
c230:,2
admire,2
purple,2
kiddie,2
group:,2
"shipo!""",2
"attitude.""",2
undulate,2
doin',2
much..,2
worker,2
right:,2
packages.,2
"11,",2
overwhelmingly,2
walnut,2
temporarily,2
smiley,2
"twenties,",2
lifestyle,2
income.,2
9-5?,2
grabby,2
"stick,",2
mobile,2
"c240,",2
(michelin,2
transformed,2
blank,2
"sills,",2
kd-,2
money..,2
percentages,2
"545i,",2
farther,2
decades,2
dvds,2
measely,2
(accelerating,2
collection,2
"tapes,",2
down..,2
guarantees,2
deck.,2
predictions.,2
"tires),",2
"competent,",2
(i),2
(ii),2
recomend,2
ample,2
(she,2
respects,2
webby,2
convention.,2
treatment,2
echoes)if,2
"middle,",2
afterwards.,2
room),2
pairs,2
placing,2
considerations,2
setup.,2
"october,",2
advice?,2
"advice,",2
fence.,2
infant,2
reproduction,2
drum,2
foolish,2
(sound,2
theater,2
kit.,2
bec.,2
audiophiles,2
dts.,2
positions.,2
2channel,2
"badge,",2
"5.1,",2
las,2
"along,",2
"apparent,",2
"""low",2
aversion,2
scion).,2
"poor,",2
"car&#151;s2000,",2
hd,2
hd.,2
bmw-fs,2
exceeds,2
prescription,2
$.,2
"vernacular,",2
&#147;redline&#148;,2
&#147;used&#148;,2
(new,2
"huh,",2
330i),2
18s.,2
i35's,2
"apple,",2
relax.,2
market's,2
"brand.""",2
state.,2
sunshine,2
"8/10ths,",2
"mesa,",2
mira,2
teeming,2
conducive,2
mf,2
re-badges,2
"omaha,",2
likewise,2
so-so.,2
911&#151;proven,2
"beater,",2
2004.5,2
complains,2
library,2
codecs),2
lossless,2
lossy,2
lb/ft,2
"reproduce,",2
nuances,2
portable,2
files,2
dvd-a?,2
"discs,",2
911's,2
vastly,2
insurance?,2
"e320,",2
(non-sport),2
(mostly,2
praise.,2
breath.,2
wound,2
plain.,2
$480,2
egg,2
"forget,",2
gearbox.,2
addicted.,2
18-inch,2
father.,2
impeccable,2
problem...,2
luckily,2
lifetime,2
jobs,2
hatchbacks,2
qbrozen's,2
"eating,",2
familiar.,2
store.,2
woods.,2
"talking,",2
210,2
good).,2
manifold,2
xt(see,2
caranddriver.com,2
"absolutely,",2
drive!,2
scooby,2
weld,2
24.,2
(mainly,2
3.5se,2
<lsd>,2
bolts,2
"taut,",2
refuses,2
3er.,2
dealorship,2
officer,2
"fantastic,",2
"1stly,",2
lbs.-ft.,2
discovery,2
up/down,2
barge,2
showroom.,2
14.7,2
counts,2
external,2
urgent,2
uh,2
post).,2
std.,2
(260,2
"asked,",2
jersey.,2
text,2
"joy,",2
m/t,2
camera,2
storm.,2
unexpected,2
"seats),",2
choked,2
leathers.,2
(again,2
";-),",2
lately?,2
"mod,",2
endorse,2
fun),2
negatives.,2
casued,2
"32,000",2
casue,2
commend,2
reality...,2
blackball,2
dollar.,2
shutdown.,2
cheese,2
cancel,2
brick,2
reasoned,2
hp/$,2
"""german",2
ray,2
this),2
cents:,2
"cmnott,",2
intention,2
jerked,2
zsp,2
crusing,2
clarification,2
noisier,2
rights.,2
c240.,2
dunlop,2
reproach,2
dissapointed,2
"cheers,",2
"conclusion,",2
sentences.,2
curiosity.,2
fe,2
abruptly,2
"another,",2
ltd,2
suspension&#151;ability,2
shortly,2
those.,2
hard...,2
outback.,2
tp,2
roads?,2
passively,2
indian,2
relates,2
i'v,2
incorporating,2
price...,2
"program,",2
cai,2
stones,2
manny,2
winshield,2
thoughts:,2
nav),2
(w/o,2
vehicle..,2
325i).,2
continued,2
tramlining,2
replacements).,2
"plan,",2
casted,2
stickering,2
"phone,",2
stick?,2
strive,2
n.,2
rocks!,2
bags,2
loose.,2
korea's,2
nuclear,2
sport:,2
hire,2
jumping,2
"$41,385",2
bread,2
greasy,2
fowl,2
politics.,2
carmaker,2
japanse,2
"coast,",2
jury,2
stint,2
perceive,2
tow,2
yourself),2
competitively,2
vdi,2
cad,2
accessory,2
cincinnati,2
stink.,2
"snows,",2
"330xi,",2
skinny,2
mistakes.,2
trophy.,2
309,2
shipo:,2
"turbocharger,",2
trionic,2
christmas,2
category...,2
chinese,2
consumers.,2
apple.,2
path,2
"too),",2
compete.,2
laurels,2
"1991,",2
ody,2
brand...acura.,2
"honesty,",2
unthinkable,2
"1986,",2
"image.""",2
travel.,2
modulate,2
"rep,",2
acquires,2
maine,2
swimming,2
"favor,",2
skier,2
bundled,2
kaibosh,2
atco,2
accuracy,2
cart,2
"trouble,",2
"sedans""appear",2
"even,",2
"108""",2
porsche.,2
"good""",2
$395,2
"sonata,",2
fighter,2
2800,2
patient,2
1000-1200,2
risky,2
pewter,2
informative.,2
ohio.,2
plenium,2
(we're,2
stranded,2
congratulations,2
welds,2
impressions.,2
hear.,2
"bummer,",2
sandwich,2
wizardry,2
all-seasons).,2
mistake.,2
hondas.,2
2:,2
thou.,2
"modded,",2
survival,2
rising,2
regards<,2
grandma's,2
embarrased,2
topography,2
120.,2
shabby.,2
"daewoo,",2
"probably,",2
"better.""",2
442,2
specialist,2
197,2
eyebrow,2
"ha,",2
stir,2
210hp,2
ogling,2
sled.,2
takes.,2
beast.,2
v-8..,2
strides.,2
135,2
if/when,2
plates,2
(good),2
theft,2
6.2-6.3,2
frothing,2
as-tested,2
maintanance.,2
pride.,2
s-80,2
"star,",2
brands).,2
"shop,",2
lift-throttle,2
wheelspin,2
manual-transmission,2
"fuel,",2
atmospheric,2
readers,2
"ahhh,",2
away...before,2
ohio,2
27k.,2
performance/luxury,2
this...i,2
guys!,2
chat!,2
183,2
strips,2
program.,2
"over,",2
1000's,2
dragstrip-like,2
facelifted,2
(10/03),2
automobile's,2
forego,2
7/03,2
mouth.,2
wannabes,2
tee.,2
164,2
inconvenient.,2
day...,2
clue.,2
"answer,",2
3000,2
149,2
"noise,""",2
fad.,2
intervals.,2
(barely),2
i-4,2
classically,2
additive,2
"mad,",2
wipe,2
"c230k,",2
quieted,2
7.73,2
(8.1,2
yeah!,2
inf.,2
(eg.,2
"back.""",2
arc.,2
as-tested:,2
base:,2
issue...,2
"ideas,",2
"pricings,",2
seriouly,2
segment).,2
designman:,2
camry/accord/burger,2
silent.,2
"dunno,",2
m-class,2
jugement.,2
themself.,2
numbers/stats/picture,2
upping,2
shea,2
approval,2
steeped,2
promoting,2
"date,",2
caveat,2
japanese-car,2
skin,2
155?,2
"dots,",2
plague.,2
dots,2
"""small""",2
colleague,2
hospital,2
sword.,2
double-edged,2
welcomed,2
bought?,2
indy/cart,2
maintenance?,2
accord/camry,2
"performance?,",2
"questionable,",2
(different,2
(entry-level,2
grips,2
atf,2
$200-300,2
navi's,2
functionality,2
nother,2
individuality,2
standings,2
mickey,2
prof,2
wal-mart,2
buckets,2
"0-60,0-100,1/4mile?",2
instructor,2
boo,2
intervals:,2
untrue,2
patterns,2
delays,2
"limitations,",2
"""recommended""",2
"kds,",2
plants,2
sophistication.,2
hoot.,2
navigation?:-),2
i’ll,2
recording,2
redesign.,2
whine,2
unit.,2
"saturn,",2
"buick,",2
"van,",2
good!,2
bmw/audi/lexus/mb,2
fascia.,2
#13,2
"me),",2
married,2
operates,2
formal,2
bulletin,2
purchaser.,2
overriding,2
fix:,2
independently,2
frankfurt,2
spare),2
differential-mounting,2
400hp.,2
hid.,2
bracket.,2
(probably,2
unlikely.,2
"content,",2
"demonstrate,",2
pics.,2
quickly;,2
"gills,",2
ultra,2
---,2
high-pitched,2
option).,2
dinged,2
"accord""",2
foreign.,2
blocky,2
z-car,2
jarring,2
"proportions,",2
"std,",2
spike,2
snafus.,2
debadging,2
belittling,2
achievers,2
annoyance,2
first-time,2
franchise...,2
playful,2
tsx/tl/rl,2
...there,2
yuppies,2
"greed,",2
conspicuous,2
close),2
debadge,2
barrier,2
smitten,2
60+,2
deprive,2
head),2
basis?,2
removing,2
outnumber,2
"miller,",2
stage,2
hidden,2
41-year-old,2
partly,2
odessit:,2
"beach,",2
satisfy,2
3+,2
clothing,2
"n.y.,",2
frustrated,2
7.45,2
flogged,2
====================================,2
debadging.,2
annoys,2
cigar,2
n.e.,2
discounts.,2
smokers,2
prefered,2
pick?,2
meal,2
powerband,2
contract?,2
"aston,",2
course...,2
"""little",2
wednesday,2
(ugly,2
jason,2
(your,2
"hyundai's,",2
wealthy),2
champion,2
"""badge""",2
sox,2
patriots,2
apeal,2
"""stigmatizing""",2
(almost),2
tuning-fork,2
drive.],2
"honda.""",2
6-speeds,2
investigate,2
pounding,2
task.,2
ostentatious,2
ringing,2
it.),2
loathed,2
acknowledged,2
helpful.,2
chicken,2
lexus's,2
prop-shafts,2
"occasions,",2
sixth.,2
nov.,2
vibe,2
decision?,2
"snuff,",2
brakes..,2
lot!,2
comprehend,2
undrivable,2
earlier..it,2
hospital.,2
well!,2
though..,2
grant,2
dissertations,2
bad...,2
(go,2
$900....,2
matter...,2
confirms,2
dealer...,2
either!,2
longevity.,2
world).,2
suzuki?,2
"order,",2
setups.,2
avenue,2
contains,2
owned?,2
corrections,2
set-up,2
compensate,2
so!,2
front-wheel-drive,2
trees,2
tuneups,2
scamper,2
4yr/50k,2
autobann,2
head-on,2
parked.,2
"""perfectly",2
seca,2
"""stable""",2
arizona,2
crumples,2
elevation,2
entry.,2
sis,2
tha,2
when.,2
"paradigm""",2
"""rear-drive",2
loyalists,2
effective.,2
"threshold""",2
"""riding",2
"rwd'er,",2
starving,2
selling?,2
delicate,2
reckless,2
period?,2
"lexuses,",2
february.,2
"failure,",2
apparently.,2
(where,2
cleaner,2
burnout,2
brakes?,2
internally,2
cost),2
"grille,",2
schmolvo..they,2
"pipes,",2
class...focus,2
charges.,2
bonnet.,2
tires*,2
etc.?,2
bhp,2
"$15,000",2
infiinity,2
practice,2
trail,2
demeaning,2
here):,2
cage,2
all-seasons.,2
phd,2
excluded.,2
"1970,",2
"cheaper,",2
"bars,",2
handled.,2
universe,2
handicaps,2
bimmerfest,2
70s.,2
mercedes?,2
"2006.""",2
"gripping,",2
widely,2
"daihatsu,",2
defect,2
regs,2
"hill,",2
squat.,2
"star""",2
todays,2
volvo?,2
"mitsubishi,",2
mph..,2
accordian,2
300),2
(near,2
opionions,2
sliding.,2
ramps.,2
dips,2
own...,2
srt-4.,2
"""broke""",2
"fwders,",2
burnouts,2
"a-pillar,",2
"power""",2
nailing,2
"""go",2
a4s,2
"""set""",2
advertized,2
faith,2
worn,2
backs,2
is200,2
derived,2
sister-in-law,2
"cylinder,",2
article:,2
3192,2
m5!,2
urge,2
4158,2
"parameters,",2
follow-up,2
hung,2
rated.,2
(hope,2
floor.,2
"performance.""",2
"""thumbs",2
returning,2
in-house,2
"australia,",2
"6,297",2
$33k-$40k,2
segments.,2
understated,2
"odd,",2
acceptance,2
pill,2
businesses,2
technicians,2
mercedes-benz:,2
aztek.,2
mind:,2
hypothesis,2
"tsx's,mazda",2
outrace/outperform,2
bull.,2
capture,2
bus,2
"540i,",2
"""inferior",2
interference,2
preferences.,2
"layout,",2
that&#146;s,2
interpreted,2
mistakenly,2
soften,2
opinion!,2
europe:,2
japan:,2
rwd's,2
325),2
m3s,2
#3736,2
repeat:,2
demand.,2
factory.,2
spark,2
factors:,2
microeconomic,2
cadillac:,2
seeking.,2
"standings,",2
gov't,2
elaborate,2
srt8,2
drive!!!,2
experiment,2
"(although,",2
power/weight,2
counsel.,2
"theirs,",2
teeth,2
rx8,2
"accidents,",2
(there,2
laboratory,2
"historically,",2
unfairly,2
5-7,2
merc.,2
(read,2
"physics,",2
blinded,2
"3,500",2
better...,2
"hello,",2
noone,2
lambo.,2
"ticket,",2
anecdotes,2
subtract,2
pushed.,2
(again),2
bergeron,2
harrison,2
"crashes,",2
mfr,2
"pretty,",2
denote,2
"long),",2
engine/transmission,2
king!,2
pita,2
"""saw",2
do's,2
warranty?,2
lsd?,2
sedens,2
"sedens,",2
indy,2
b-to-b,2
slow?,2
searched,2
includes:,2
nine,2
"shave,",2
"saabs,",2
"volvos,",2
publics,2
nature.,2
cars...it's,2
+3%.,2
possesses,2
"coffee,",2
"""underpowered,""",2
irritating,2
"""give",2
accounting,2
red.,2
hk,2
idea...,2
disease,2
m-roadster,2
radial,2
bang-for-buck,2
mustang.,2
116,2
transaxle,2
"color,",2
aggressively.,2
"online,",2
"on-line,",2
edmunds).,2
$2/gallon,2
hauling,2
alphabet,2
soup,2
39%,2
"display,",2
"everywhere,",2
wheel).,2
utilizing,2
purveyors,2
rs,2
execute,2
"stuck,",2
sweeping,2
brand-new,2
absurdly,2
"use.""",2
then).,2
"conservative,",2
cul-de-sac,2
gxp,2
shave,2
hundred.,2
lovely,2
occurrence,2
congestion,2
care?,2
exceeded,2
g35!,2
acceptable.,2
"""hairy",2
apply.,2
head-turners.,2
story!,2
category...end,2
head-turners,2
"breakdown,",2
classes:,2
"heard,",2
singer,2
worries.,2
motoring.,2
"rx8,",2
"cooper,",2
"anymore,",2
magnum.,2
fulfils,2
fanny,2
"all-seasons,",2
235hp,2
rx-8,2
"16""",2
unparalleled,2
vibration/,2
...but,2
"overweight,",2
"reiz,",2
"$45k.""",2
http://www.caranddriver.com/article.asp?section_id=15&article-,2
_id=7785&page_number=1,2
"continue,",2
blatant,2
remember?,2
unlikely,2
badges,2
"appreciated,",2
"avalon,",2
personified,2
yrs.,2
"reverse,",2
cien.,2
"cockpit,",2
physically,2
sleep.,2
slot.,2
"""comfort",2
today:,2
http://www.edmunds.com/news/conceptcarspotlight/articles/51600/ar-,2
central,2
careful.,2
ticle.html,2
rate?,2
noise/,2
"g/3's,",2
"""unfortunately",2
usable,2
4x4,2
showy,2
union!,2
hippest,2
"coil-overs,",2
"bar,",2
"wealthiest,",2
"largest,",2
ca?,2
"german,",2
lengths,2
stupendous,2
braking?,2
"5,000",2
phat,2
sytle,2
vents,2
(think,2
theme.,2
"""compact""",2
toss-up,2
333hp.,2
yummy!,2
"pocket,",2
"900,",2
giggles,2
creamy,2
karl,2
touting,2
unintentionally,2
overflowing,2
"stance,",2
wear.,2
4/10,2
21/30,2
"speak,",2
nits,2
slaloms,2
29-30,2
138,2
"""...the",2
um,2
daytona,2
isms,2
(~450,2
"8,000",2
terrifying,2
20/29,2
'900,2
chip/scratch,2
mr2,2
cond,2
"laugh,",2
80mph=3500rpm,2
pedals.,2
flawless,2
post#:,2
bangled,2
(#2529),2
fith,2
console.,2
bumping,2
autobahn.,2
tru,2
smoother/quieter,2
detected.,2
.8,2
bearings,2
strut,2
mysteriously,2
3600,2
"m3.""",2
outrunning,2
"like""",2
package),2
"accelleration,",2
*marginally*,2
(on,2
contend,2
smashed,2
handling+performance,2
"uninsured,",2
shopper,2
corporation,2
boot!,2
dorky,2
vision.,2
magazine/press,2
supercharge,2
familiarity,2
theoretical,2
"curve,",2
"mpg's,",2
unimpressed.,2
2+2,2
repeat.,2
flats,2
non-racetrack,2
"""everyone",2
"differently""",2
(nother,2
please),2
neighbor,2
explore,2
reliably,2
"meaning,",2
unexpectingly.,2
"kahunah,",2
duplicate,2
298hp.,2
other?,2
(bmw's,2
transition,2
demos.,2
consummate,2
"remodeling..haha,",2
reaches,2
rediculus),2
"purpose,",2
ramp.,2
thereby,2
accidentally,2
scirocco,2
85-90,2
"twice,",2
4-wheel,2
323i.,2
offered.,2
"one.""",2
midway,2
targa,2
"""drop",2
"hades?""",2
s-type.,2
proposed,2
smoking/shredding,2
repeatable,2
hasty,2
rubber!,2
wear?,2
trauma?,2
teens,2
services,2
(300,2
5-60mph,2
"""testing"".",2
(118,2
m45...hopefully,2
burnouts.,2
case?,2
smoke!!!,2
victory,2
"outstanding,",2
4-piston,2
bee,2
zipping,2
diameter;,2
later?,2
okay.,2
remodeled,2
colours,2
load.,2
towing,2
(seriously),2
carsdirect.com.,2
infiniti?,2
payoffs?,2
quadra-drive,2
box?,2
"ends,",2
swaps,2
iota.,2
benign&#151;synonymous,2
numbers...well,2
"""knockout"",",2
year...even,2
negates,2
"""butt-kicking"",",2
sapping,2
motions,2
"odyssey,",2
"""honda",2
wheelbarrows.,2
"callow,",2
enchanting,2
"""like",2
"dude"".",2
lexuses,2
here...,2
preferance...i,2
literature!,2
magazines...i,2
"prototype,",2
channel.,2
3905,2
fwd...,2
sebring,2
copying,2
controlled.,2
"predictable,",2
existance.,2
"after,",2
2005's,2
contribution,2
"(which,",2
"backseat,",2
nissans),2
"maintain,",2
brother!,2
"kahuna,",2
winnings,2
lottery,2
counting,2
obsolete,2
"2)kahuna,",2
"apart,",2
stated),2
series...but,2
"(cadillacs,",2
cleared,2
nit,2
nissans)...styling,2
response...i,2
'feel',2
iqs,2
disparage,2
fed?,2
autoweek...,2
multi-plate,2
electromagnets,2
'57,2
5-speed),2
stigma),2
maneuverability.,2
serviced,2
hooked.,2
nuthin',2
electromagnetic,2
"differential,",2
x-type;,2
distribute,2
quarts,2
"cited""",2
stability.,2
911s,2
...jaguar,2
csi,2
"scratch,",2
"co.,",2
(north,2
excitement),2
"hades""",2
insecurities?,2
validating,2
log,2
reactions,2
"l,",2
monitor,2
debadged,2
my1999.,2
ytd:,2
mentioning.,2
'quattro',2
'perfect,2
chatter.,2
friends.,2
"cdost,",2
"biases,",2
posters',2
noticing,2
reservations,2
car',2
introductory,2
distraction.,2
major),2
know...won't,2
packing,2
messin',2
exceeding,2
infiniti...game,2
interfere,2
should).,2
"""would",2
discontinued,2
development.,2
uppity,2
"""pay",2
alters,2
7469,2
anomaly,2
macdonalds,2
cien,2
's,2
mats,2
"""box""",2
hates,2
expert.,2
convinces,2
ion,2
headache,2
believable,2
8185,2
toned,2
7032.,2
documented,2
contrary.,2
torque-steer,2
torque-steer.,2
ergonomic,2
"style!""",2
*utility*,2
pre-eminent,2
"all?""",2
"helps,",2
"huge,",2
prepare,2
"fastest,",2
"overboosted,",2
instruments,2
sharp.,2
cheapest,2
(sic),2
endlessly,2
"combined,",2
green-faced,2
assemblage,2
refine,2
tactile,2
chunk,2
triple,2
whistles.,2
metric.,2
itilian,2
"textures,",2
beat),2
"things.""",2
"steer.""",2
silver-rimmed,2
fought,2
criticizing,2
"mounted,",2
"ever.""",2
"put,",2
"114""",2
"""may",2
"makers,",2
"sleep,",2
150k+,2
leans,2
"""more",2
engines?,2
periods,2
lagging,2
rationale,2
"750hp,",2
"car"""">",2
led,2
"""poor",2
sales...,2
mole,2
"facts,",2
variations,2
"homes,",2
cookie-cutter,2
pontiacs,2
attempting,2
mission,2
"out.""",2
secondary.,2
gosh,2
dyamics,2
98k.,2
"websites,",2
maximas,2
102k,2
innovative,2
research...a,2
masses,2
"integra,",2
comparo's.,2
benchmarks,2
brilliant,2
connolly,2
pounded,2
wasnt,2
"""better",2
"pontiacs,",2
veneer,2
signals),2
"toilet,",2
posts),2
(kd,2
aunt's,2
frisconick).,2
fridge,2
opined,2
"dod,",2
edmund's,2
rwder.,2
"command,",2
"0-100,",2
"boss,",2
"software,",2
"autohomes,",2
slid,2
"sedan),not",2
camry(family,2
"f150,",2
entry-level-luxu.-perf.,2
creature.,2
1990,2
31-38k/month.,2
9k/months,2
105k/year,2
31-38k,2
"year),",2
2002(that,2
genuine,2
visibility,2
s40?,2
4th.,2
"43,693",2
(teen,2
"4-year/50,000-mile",2
circuit.,2
(free,2
...that,2
truck-like,2
"represents"".",2
5-series',2
.82,2
sister's,2
"drive),",2
droning,2
muffler,2
v6s,2
brats,2
14.88,2
output:,2
ferraris.,2
"hair,",2
"self,",2
linkage,2
kias,2
oxide,2
hasnt,2
carguide,2
survey.,2
power.--quoted,2
(their,2
4700,2
"thankfully,",2
supplies,2
trends.,2
handling/performance,2
hits.,2
(soon),2
data:,2
calipers.,2
elapsed,2
stared,2
"eery,",2
acts,2
clicking,2
complimentary,2
"4.2,",2
all-disc,2
emphasizes,2
see...,2
stuffed,2
modern.,2
"800,000",2
"essentially,",2
9-2x,2
competative,2
"covered,",2
"tested.""",2
"offering,",2
cushy.,2
4.3,2
tl's.,2
ludicrous.,2
measured.,2
msg,2
mfrs,2
los,2
assumptions.,2
msrp?,2
angeles,2
pics:,2
"24-valve,",2
climates.,2
body.,2
soemone,2
shift?,2
calendar,2
"failed,",2
